NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPH3AL	NA	5598	0.23787879943847656	-0.19541503	No	
row_1	SYT5	NA	8201	0.12706473469734192	-0.2812519	No	
row_2	STUM	NA	11245	0.04001762345433235	-0.41450652	No	
row_3	GAS8	NA	12122	0.02179953269660473	-0.44975525	No	
row_4	LIG1	NA	13248	-0.0011427903082221746	-0.5031522	No	
row_5	ASS1	NA	14641	-0.030286505818367004	-0.5604819	No	
row_6	CUEDC1	NA	14894	-0.03743667155504227	-0.5611876	No	
row_7	DNM2	NA	14992	-0.04093211144208908	-0.5534307	No	
row_8	RFX1	NA	16637	-0.11145485192537308	-0.59822786	Yes	
row_9	CEACAM19	NA	17700	-0.1856199949979782	-0.5927711	Yes	
row_10	PNPLA6	NA	18779	-0.3147471249103546	-0.54898995	Yes	
row_11	ITGAL	NA	18921	-0.33987247943878174	-0.45284104	Yes	
row_12	GINS3	NA	19008	-0.359850138425827	-0.34801722	Yes	
row_13	STAT6	NA	19875	-0.6063653230667114	-0.20583113	Yes	
row_14	RAB37	NA	20292	-0.848963737487793	0.031290397	Yes	
