NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
IL1RAPL2	1	221112_at	
IL1RAPL1	2	222963_s_at:220663_at	
BDP1	3	231939_s_at:226290_at:224227_s_at	
ST6GALNAC3	1	235334_at	
DTL	2	222680_s_at:218585_s_at	
ST6GALNAC4	4	220937_s_at:228163_at:223285_s_at:221551_x_at	
ST6GALNAC5	3	1562753_at:220979_s_at:230482_at	
OSTM1-AS1	1	237357_at	
ST6GALNAC6	1	222571_at	
RNFT2	3	221909_at:1553209_at:221908_at	
SLC47A2	1	231068_at	
COL15A1	1	203477_at	
SLC47A1	1	219525_at	
HSD17B14	4	224494_x_at:228713_s_at:219113_x_at:224497_x_at	
HSD17B12	4	1554122_a_at:1554121_at:1559518_at:217869_at	
HSD17B11	1	217989_at	
HSD17B10	1	202282_at	
RNFT1	3	227268_at:221195_at:221194_s_at	
CECR2	3	223729_at:233695_s_at:239752_at	
CECR3	1	1564352_at	
PTPRZ1	1	204469_at	
SLITRK2	1	233051_at	
SLITRK1	1	236734_at	
SLITRK4	2	230680_at:232636_at	
CECR7	1	243048_at	
SLITRK3	1	206732_at	
CECR9	2	1567686_at:1567687_at	
SLITRK6	3	232481_s_at:235976_at:232176_at	
SLITRK5	2	215469_at:214930_at	
AAMP	1	201511_at	
C1orf226	1	227019_at	
LINGO2	1	232720_at	
LINGO1	1	227933_at	
DUT	3	209932_s_at:208956_x_at:208955_at	
LINGO3	2	237405_at:1560439_at	
BAIAP2	4	205294_at:205293_x_at:207832_at:209502_s_at	
BAIAP3	2	204874_x_at:216356_x_at	
PC	1	204476_s_at	
VIPAS39	2	233140_s_at:218431_at	
PABPC1L	3	226670_s_at:231838_at:233104_at	
MDGA2	2	1570114_at:239935_at	
MDGA1	3	232237_at:242757_at:238543_x_at	
SPG21	2	215383_x_at:217827_s_at	
LOC100505501	1	235171_at	
VPS35L	2	1558557_at:203173_s_at	
DHFR2	2	235675_at:241727_x_at	
C1orf210	1	1554246_at	
RETREG3	1	212697_at	
RTCA	3	215351_at:238087_at:203594_at	
RGSL1	1	211446_at	
RTCB	1	200042_at	
TXNDC11	1	223325_at	
UBE2L6	1	201649_at	
TXNDC12	2	223017_at:225642_at	
TXNDC15	2	220495_s_at:227873_at	
TXNDC16	1	226747_at	
UBE2L3	4	200684_s_at:200682_s_at:200683_s_at:200676_s_at	
TXNDC17	2	228743_at:224511_s_at	
SLC34A3	2	1552510_at:1569926_s_at	
SLC34A2	1	204124_at	
ENTPD1	4	207691_x_at:209474_s_at:209473_at:228585_at	
ENTPD2	2	207372_s_at:230430_at	
ENTPD3	2	1555118_at:206191_at	
C1orf220	1	1563876_at	
ENTPD4	3	1555358_a_at:204076_at:204077_x_at	
ENTPD5	4	205757_at:1554094_at:239933_x_at:226594_at	
SLC34A1	2	208177_at:217530_at	
ENTPD6	2	234946_at:201704_at	
SYNPR-AS1	1	240184_at	
ENTPD7	1	220153_at	
TIMD4	1	1552280_at	
VWA5B2	2	232642_at:1554850_at	
VWA5B1	2	1552854_a_at:1552853_at	
ASRGL1	2	222764_at:218857_s_at	
MDS2	2	1553508_at:1562731_s_at	
OR5E1P	2	1566276_at:1566277_at	
DXO	3	204522_at:215982_s_at:38157_at	
LAP3	1	217933_s_at	
C1orf216	1	212791_at	
LOC100506730	2	1562013_a_at:1562012_at	
TMEM72-AS1	1	1563632_at	
LOC100506731	1	1559970_at	
EPHA10	3	243717_at:236073_at:1553371_at	
RTF2	5	234926_s_at:224128_at:233842_x_at:217737_x_at:236702_at	
KIF9-AS1	1	1557613_at	
MST1R	1	205455_at	
RTF1	3	230832_at:212302_at:212301_at	
UBE2J2	4	225209_s_at:224347_x_at:226704_at:230929_s_at	
MST1L	3	213382_at:215563_s_at:213380_x_at	
OSGEP	2	242930_at:209450_at	
ERC2-IT1	1	208247_at	
UBE2J1	6	217823_s_at:217825_s_at:217826_s_at:222435_s_at:217824_at:228924_s_at	
SPATA5L1	3	222163_s_at:215694_at:218933_at	
SI	1	206664_at	
SWI5	1	226027_at	
DYM	3	220774_at:223171_at:227730_at	
AAR2	1	218089_at	
HSPC324	1	232227_at	
LOC91370	1	1554305_at	
NSMCE1-DT	2	234216_at:234627_at	
WAPL	4	212267_at:1554441_a_at:217218_at:212264_s_at	
KLHL30-AS1	1	1554782_at	
TF	4	214063_s_at:220109_at:203400_s_at:214064_at	
TG	1	203673_at	
LINGO1-AS1	1	1562748_at	
TH	1	208291_s_at	
LINGO1-AS2	1	1561619_at	
HDHD5-AS1	1	1559920_a_at	
EPCAM-DT	2	1562604_at:237501_at	
RETREG2	4	218037_at:221984_s_at:221983_at:222129_at	
RETREG1	4	218510_x_at:218532_s_at:213663_s_at:213662_at	
PCSK2	2	204869_at:204870_s_at	
PCSK1	1	205825_at	
TNFRSF13B	1	207641_at	
SLC7A14	2	232904_at:1556641_at	
AATK	1	205986_at	
PCSK9	1	227759_at	
SLC7A13	1	238287_at	
TNFRSF13C	1	1552892_at	
PCSK7	2	203118_at:232521_at	
WASL	4	230340_s_at:205809_s_at:205810_s_at:224813_at	
SLC7A11	3	209921_at:207528_s_at:217678_at	
PCSK6	6	211263_s_at:210553_x_at:242662_at:211262_at:1553531_at:207414_s_at	
AATF	1	209165_at	
IER3IP1	2	223071_at:211406_at	
SLC7A10	1	220868_s_at	
PCSK5	3	205559_s_at:205560_at:213652_at	
GGTA1	1	228376_at	
PCSK4	1	230901_x_at	
CLYBL	3	240462_at:239683_at:238440_at	
GNGT1	1	207166_at	
MYDGF	2	221739_at:216483_s_at	
IMMP2L	2	1555571_at:227153_at	
GNGT2	1	235139_at	
HYAL1	1	210619_s_at	
HYAL2	1	206855_s_at	
ENC1	2	201340_s_at:201341_at	
HYAL3	1	211728_s_at	
HYAL4	1	220249_at	
FAM170B	1	1559828_at	
FAM170A	1	1562906_at	
L3HYPDH	1	227699_at	
AASS	2	210852_s_at:214829_at	
THUMPD3-AS1	4	1557357_at:232052_at:1555858_at:1555860_x_at	
TNFRSF12A	1	218368_s_at	
LOC101928902	2	1570537_a_at:1569978_x_at	
MRPS2	1	218001_at	
MRPS7	1	217932_at	
MRPS6	2	213167_s_at:224919_at	
MRPS5	4	224333_s_at:224877_s_at:237560_at:236779_at	
ENAH	6	222433_at:1553672_at:222434_at:228310_at:228553_at:217820_s_at	
LAT2	2	221581_s_at:211768_at	
IMMP1L	2	230556_at:229025_s_at	
MRPS9	1	226749_at	
ENAM	2	223893_at:240586_at	
LOC101928907	2	1561424_at:1563297_s_at	
G2E3	5	223258_s_at:223254_s_at:223257_at:223255_at:223256_at	
LOC101928909	1	1568722_at	
PNCK	1	229411_at	
IGHMBP2	3	31861_at:243746_at:215980_s_at	
GREB1L	3	233977_at:243907_at:220340_at	
NEDD9	4	202149_at:1569020_at:202150_s_at:1560706_at	
FAAP24	1	214816_x_at	
NEDD8	1	201840_at	
CRIP2	1	208978_at	
CRIP3	1	235720_at	
FAAP20	9	230649_at:229113_s_at:236499_at:1562675_at:228197_at:236498_s_at:1556309_s_at:1558544_at:236584_at	
CRIP1	1	205081_at	
ARVCF	1	205784_x_at	
ALS2CL	3	243276_at:229887_at:222333_at	
FAM172A	2	223882_at:212936_at	
PLEKHG4B	2	230441_at:236255_at	
NDUFA6-DT	1	228117_at	
SCAND1	3	218206_x_at:231059_x_at:232652_x_at	
NPDC1	1	218086_at	
ZNRD1ASP	9	234457_at:234866_s_at:234115_s_at:242557_at:215985_at:234114_at:234530_s_at:234097_s_at:234445_at	
YIPF1	1	214733_s_at	
YIPF2	4	212512_s_at:65086_at:221939_at:219075_at	
GNL3LP1	1	220716_at	
YIPF3	1	216338_s_at	
MIR99AHG	3	1559412_at:1559901_s_at:239999_at	
YIPF4	4	209551_at:242818_x_at:235220_at:213999_at	
YIPF5	4	224949_at:221423_s_at:224934_at:224953_at	
KLK13	3	216670_at:217315_s_at:205783_at	
HUWE1	5	236294_at:208599_at:207783_x_at:214673_s_at:208598_s_at	
CRIPT	6	233068_at:222702_x_at:239049_at:218643_s_at:227942_s_at:239050_s_at	
LOC497256	1	1560380_at	
KLK14	1	220573_at	
UBE2G1	3	209141_at:209142_s_at:226005_at	
KLK15	4	234495_at:221462_x_at:233477_at:234966_at	
UBE2G2	4	209042_s_at:1557053_s_at:209041_s_at:232755_at	
KLK10	2	215808_at:209792_s_at	
KLK11	1	205470_s_at	
XG	2	1554062_at:241931_at	
KLK12	3	220782_x_at:233586_s_at:234316_x_at	
LOC100506790	1	236914_at	
NEDD1	3	234984_at:1552417_a_at:1560116_a_at	
GRIK1-AS2	1	1560378_at	
GRIK1-AS1	1	1554203_at	
XK	1	206698_at	
GLB1L	1	206540_at	
THEMIS2	2	210785_s_at:207571_x_at	
NEDD4	1	213012_at	
LBX2-AS1	1	238422_at	
YIPF6	4	212343_at:212340_at:212342_at:212341_at	
FAM171B	3	227370_at:242762_s_at:238564_at	
SH3GL3	3	205637_s_at:211565_at:205636_at	
RTKN	3	225151_at:225150_s_at:239226_at	
LOC101927604	1	1557702_at	
LOC101928933	1	1568832_a_at	
LOC101927603	1	239560_at	
BCCIP	3	218264_at:227322_s_at:227896_at	
RTL9	1	232785_at	
OGDHL	1	219277_s_at	
RTL6	1	223228_at	
CFAP300	2	241198_s_at:224463_s_at	
RTL5	1	227823_at	
RTL3	1	1552935_at	
C11orf1	4	218925_s_at:222785_x_at:231530_s_at:231538_at	
FAM174C	1	221587_s_at	
FAM174B	3	222085_at:51158_at:221880_s_at	
FAM174A	1	226752_at	
LOC101927608	1	242386_x_at	
LOC100505498	3	231337_at:216874_at:216877_at	
LOC101927609	1	239775_at	
LOC101928937	1	1562984_at	
PAMR1	1	213661_at	
SH3GL2	1	205751_at	
SH3GL1	1	201851_at	
LOC101927610	2	215060_at:1563539_at	
LOC101928940	1	1569753_at	
LAX1	1	207734_at	
PLCG1-AS1	1	1558354_s_at	
DKC1	3	201478_s_at:216212_s_at:201479_at	
LOC105375240	1	1569528_at	
UBE2V2	3	228734_at:230411_at:209096_at	
UBE2V1	1	201001_s_at	
RTN2	2	204217_s_at:34408_at	
KRT19P2	2	217350_at:217338_at	
LOC101927623	1	1562487_at	
RTN3	2	219549_s_at:224564_s_at	
LOC101927620	1	233444_at	
RTN1	2	203485_at:210222_s_at	
CHAT	1	221197_s_at	
RTN4	4	211509_s_at:210968_s_at:1556049_at:214629_x_at	
ENHO	1	228403_at	
HCAR3	1	205220_at	
EBP	4	213787_s_at:231320_at:202735_at:213789_at	
HCAR1	1	224131_at	
CHAD	1	206869_at	
TRGC2	1	215806_x_at	
CARNMT1-AS1	1	1557885_at	
LOC101927636	1	1561731_at	
ECD	1	203013_at	
CRIM1	3	228496_s_at:202551_s_at:202552_s_at	
LAYN	3	1556885_at:1556886_a_at:228080_at	
SSPOP	1	234349_at	
LOC101928961	1	1561216_at	
PHOX2B	1	207009_at	
PHOX2A	1	214609_at	
PGM5P2	1	1560431_at	
STT3A	1	202223_at	
STT3B	2	230627_at:224700_at	
ACTL10	1	232619_at	
RTP4	1	219684_at	
RTP5	1	1560035_at	
RTP3	2	1552568_at:1552569_a_at	
EDA	6	211127_x_at:206217_at:211130_x_at:211129_x_at:211131_s_at:211128_at	
RTP1	2	1553822_at:1553823_a_at	
CHD9	7	229586_at:239654_at:235388_at:242157_at:212615_at:212616_at:220586_at	
LOC101928978	1	1563165_at	
CHD8	1	212571_at	
LOC101927647	1	1561966_at	
CHD7	4	220619_at:222755_s_at:218829_s_at:226123_at	
CHD6	4	1555463_a_at:225026_at:225031_at:234681_s_at	
CHD5	2	217250_s_at:213965_s_at	
CHD4	3	201183_s_at:201182_s_at:201184_s_at	
TTLL1-AS1	1	1570085_at	
CHD3	2	208807_s_at:208806_at	
CHD2	6	1554014_at:243751_at:1554015_a_at:203461_at:228999_at:225077_at	
MEA1	1	218061_at	
CHD1	2	204258_at:235791_x_at	
RGPD4-AS1	1	1558623_at	
PIDD1	2	219019_at:221640_s_at	
FAM178B	1	223812_at	
UBE2Q1	3	222480_at:217978_s_at:231816_s_at	
UBE2Q2	1	224747_at	
LOC101928985	1	1561107_at	
RFPL1	1	207934_at	
EED	2	210656_at:209572_s_at	
LOC101927657	1	1562893_at	
RFPL2	1	207227_x_at	
LOC101928988	1	1560257_at	
RFPL3	1	207936_x_at	
DARS2	1	218365_s_at	
CIP2A	2	231855_at:1553810_a_at	
DARS1	2	201623_s_at:201624_at	
UBE2R2	2	226954_at:223014_at	
CHDH	7	229954_at:1559591_s_at:231994_at:1559590_at:228560_at:229502_at:230484_at	
PNKP	1	218961_s_at	
LOC101927668	2	237192_at:237193_s_at	
TGFBRAP1	3	205210_at:225653_at:221235_s_at	
ACVR1B	6	208219_at:208222_at:213198_at:208223_s_at:208218_s_at:205209_at	
ACVR1C	2	1552519_at:1563182_at	
EFS	2	204400_at:210880_s_at	
UBE2NL	1	217393_x_at	
MDH1B	2	1558077_s_at:238721_at	
CHGA	1	204697_s_at	
EGF	1	206254_at	
SWT1	1	223548_at	
LSP1P5	2	214110_s_at:228158_at	
LRWD1	1	225680_at	
LSP1P4	3	243419_at:239718_at:242133_s_at	
ACVR2B	3	236126_at:1559548_at:220028_at	
CHFR	3	218803_at:223931_s_at:1561940_at	
ACVR2A	2	205327_s_at:228416_at	
PNKD	3	225298_at:233177_s_at:1555713_at	
INAFM2	2	231431_s_at:225567_at	
INAFM1	1	227325_at	
ACIN1	1	201715_s_at	
PNMT	1	206793_at	
RPL30	2	228047_at:200062_s_at	
EHF	6	232361_s_at:222932_at:224189_x_at:219850_s_at:225645_at:232360_at	
DPY19L2P3	1	1557314_at	
RPL32	1	200674_s_at	
ZNF561-AS1	1	1557114_a_at	
RPL31	5	221592_at:221593_s_at:200963_x_at:200962_at:241017_at	
TMEM200A	1	234994_at	
RPL34	1	200026_at	
DPY19L2P2	2	1557290_at:215143_at	
TMEM200C	2	229523_at:238128_at	
ABAT	3	206527_at:209459_s_at:209460_at	
ENO1	4	240258_at:216554_s_at:201231_s_at:217294_s_at	
MICOS13	1	225823_at	
ENO2	1	201313_at	
ABCA12	1	215465_at	
MICOS10	2	224867_at:228096_at	
ABCA13	3	1553295_at:1553604_at:1553605_a_at	
ENO3	2	237691_x_at:204483_at	
GPR174	1	224285_at	
GPR173	4	244877_at:1556039_s_at:1556038_at:221299_at	
RNF112	1	223603_at	
GPR176	2	206673_at:227846_at	
RNF115	3	243976_at:226468_at:212742_at	
ZPLD2P	1	1557776_at	
RNF114	3	200868_s_at:211678_s_at:200867_at	
GPR171	1	207651_at	
RPL36	2	231658_x_at:219762_s_at	
RPL35	1	200002_at	
CYP1B1	4	202436_s_at:202435_s_at:202434_s_at:202437_s_at	
ADNP2	2	203321_s_at:203322_at	
RTTN	3	1557388_at:227072_at:1553277_at	
RPL38	3	202028_s_at:202029_x_at:221943_x_at	
RPL37	4	200092_s_at:224767_at:224766_at:224763_at	
ANKS1A	1	212747_at	
RPL39	1	208695_s_at	
RNF111	1	218761_at	
CHGB	1	204260_at	
ANKS1B	5	227441_s_at:240292_x_at:219989_s_at:227440_at:227439_at	
MED1	4	225456_at:225452_at:203497_at:203496_s_at	
CHIA	1	220630_s_at	
DEPDC1-AS1	1	1569958_at	
MECR	1	218664_at	
RPL21	2	216479_at:200012_x_at	
RPL23	2	200888_s_at:214744_s_at	
RPL22	5	220960_x_at:208768_x_at:221775_x_at:221726_at:214042_s_at	
MED8	3	213127_s_at:213696_s_at:213126_at	
MED9	1	218372_at	
MED4	2	217843_s_at:222438_at	
DKK1	1	204602_at	
MED6	3	207079_s_at:210104_at:207078_at	
DKK2	2	219908_at:224199_at	
DKK3	5	230508_at:221127_s_at:202196_s_at:214247_s_at:221126_at	
MED7	3	204350_s_at:204349_at:231272_at	
DKK4	1	206619_at	
CPED1	2	220032_at:228728_at	
GPR162	1	205056_s_at	
RNF123	2	221063_x_at:224186_s_at	
RNF126	3	205748_s_at:223332_x_at:215031_x_at	
RNF125	2	235199_at:207735_at	
RNF128	1	219263_at	
GPR161	6	214104_at:232350_x_at:235961_at:230369_at:206971_at:206972_s_at	
GPR160	1	223423_at	
SNORA74A	3	1567682_x_at:1567679_at:1567681_at	
RPL24	2	200013_at:214143_x_at	
RPL27	3	228958_at:240836_at:200025_s_at	
RPL29	2	213969_x_at:200823_x_at	
RPL28	2	213223_at:200003_s_at	
ALG10B	3	238475_at:228941_at:242900_at	
GPLD1	6	206264_at:217405_x_at:238752_at:215554_at:206266_at:206265_s_at	
RNF122	1	219897_at	
FTCDNL1	2	1556667_at:243744_at	
RNF121	1	219021_at	
MEG3	10	1558144_at:231529_at:210794_s_at:226211_at:226210_s_at:229557_at:235077_at:212732_at:227390_at:242246_x_at	
OSER1	2	209020_at:221954_at	
VPS26C	2	217309_s_at:203635_at	
VPS26A	2	201807_at:243316_x_at	
VPS26B	2	230306_at:225483_at	
MEFV	1	208262_x_at	
MEG8	1	240083_at	
MEG9	1	228632_at	
SCP2D1-AS1	1	237793_at	
PNPO	2	222653_at:218511_s_at	
PRR34-AS1	1	238058_at	
RPL41	1	201492_s_at	
CHKB	1	204193_at	
CHKA	2	204233_s_at:204266_s_at	
PNO1	3	242905_at:203622_s_at:211697_x_at	
SLC16A11	2	241952_at:1552761_at	
PRRC2C	6	211947_s_at:211948_x_at:214052_x_at:214055_x_at:211944_at:211946_s_at	
SLC16A10	3	219915_s_at:236220_at:222939_s_at	
GPR137B	1	204137_at	
RPL3L	1	206768_at	
PRRC2B	3	212068_s_at:223793_at:212069_s_at	
SLC16A14	1	238029_s_at	
PRRC2A	3	208132_x_at:214201_x_at:212081_x_at	
GPR137C	1	242592_at	
CPEB1	2	222903_s_at:219578_s_at	
MIR3936HG	1	241899_at	
RNF103	2	202636_at:1568665_at	
GPR180	6	1556019_at:1556021_at:1566257_at:231871_at:232912_at:1566256_s_at	
GPR183	1	205419_at	
GPR182	2	214506_at:1552440_at	
PNOC	1	205901_at	
CYP1A2	2	207608_x_at:207609_s_at	
PHBP19	1	238788_at	
CYP1A1	1	205749_at	
CPEB3	4	243651_at:1555250_a_at:205773_at:239765_at	
CPEB2	3	235479_at:235462_at:226939_at	
CPEB4	4	224829_at:224831_at:242280_x_at:224828_at	
SPEF2	3	232745_x_at:1552716_at:233429_at	
MEI1	3	1554208_at:230011_at:1564621_a_at	
ELL	3	1565254_s_at:204095_s_at:204096_s_at	
SPEF1	1	216119_s_at	
ELN	2	212670_at:216269_s_at	
PCOLCE-AS1	1	1560939_at	
VSIG10L	1	238654_at	
RNF157	2	1569775_at:226433_at	
ZCWPW2	1	243863_at	
ZCWPW1	2	220618_s_at:223992_x_at	
GPR132	2	221140_s_at:223887_at	
CHL1	2	234583_at:204591_at	
LOC100288069	1	211050_x_at	
ENSA	5	228852_at:221486_at:228851_s_at:221487_s_at:202596_at	
GPR137	3	43934_at:219430_at:221966_at	
RNF151	1	236689_at	
EMB	2	226789_at:239072_at	
RNF150	4	232501_at:229024_at:227657_at:236038_at	
RNF152	2	1553722_s_at:1553721_at	
EMD	1	209477_at	
KRT8P12	2	222060_at:230116_at	
GPR135	3	214503_x_at:211659_at:217641_at	
ZC3H10	3	240677_at:227430_at:243662_at	
EN2	1	207060_at	
EN1	1	220559_at	
RNF168	2	1553127_a_at:226832_at	
GCFC2	2	210175_at:216305_s_at	
RNF167	1	212047_s_at	
CHIAP2	1	1570015_at	
AFTPH	2	217939_s_at:222472_at	
RFX5-AS1	1	230787_at	
RNF166	1	227726_at	
RNF165	3	1569080_at:230143_at:1557545_s_at	
CCDC90B	3	1568834_s_at:218288_s_at:222577_at	
ENG	3	228586_at:201808_s_at:201809_s_at	
PCYOX1	2	203803_at:225274_at	
RPL10	4	200725_x_at:217680_x_at:221989_at:200724_at	
RPL12	4	200809_x_at:214271_x_at:200088_x_at:1558081_at	
RPL11	1	200010_at	
RNF135	2	223591_at:223592_s_at	
GPR153	2	221902_at:64942_at	
RNF139	1	209510_at	
RNF138	2	239143_x_at:218738_s_at	
CHN2	3	211419_s_at:207486_x_at:213385_at	
GPR150	1	231349_at	
CHN1	1	212624_s_at	
LIMD1-AS1	1	233541_at	
RPL14	3	213588_x_at:200074_s_at:219138_at	
RPL13	8	212734_x_at:212933_x_at:212191_x_at:214351_x_at:229590_at:208929_x_at:1565759_at:214976_at	
CHML	6	1565951_s_at:226350_at:206079_at:1565947_a_at:1566337_x_at:1565949_x_at	
RPL15	4	240806_at:221476_s_at:217266_at:221475_s_at	
GPR156	2	1553028_at:239607_at	
SNORA71A	2	1565859_at:1565858_at	
RPL18	3	222297_x_at:200022_at:214335_at	
RNF130	7	232192_at:1559537_at:230932_at:1563975_at:236292_at:217865_at:222058_at	
SNORA71B	2	1568249_at:1568248_x_at	
RPL17	4	200038_s_at:212537_x_at:212270_x_at:214291_at	
GPR155	3	239533_at:244509_at:231166_at	
RNF133	1	231373_at	
GPR158	1	232195_at	
RPL19	1	200029_at	
GPR157	2	227970_at:220901_at	
TIMMDC1	1	223004_s_at	
F10	1	205620_at	
F12	1	205774_at	
F11	4	1569591_at:206610_s_at:1569592_a_at:1563160_at	
MYBPH	1	206304_at	
CERNA1	1	215229_at	
NMNAT3	2	228090_at:243738_at	
NMNAT2	4	1552712_a_at:1556029_s_at:1562818_at:209755_at	
GPR141	1	1563720_at	
RNF146	2	223886_s_at:221430_s_at	
RNF145	3	239899_at:238949_at:226077_at	
GPR143	1	206696_at	
RNF148	1	242925_at	
NMNAT1	3	223692_at:229852_at:1569631_at	
ABI2	7	211793_s_at:225098_at:216113_at:209856_x_at:227631_at:207268_x_at:225112_at	
ABI3	1	223615_at	
RNF149	1	225414_at	
ABI1	3	209027_s_at:1559890_a_at:209028_s_at	
MSRB2	3	218773_s_at:219451_at:230575_at	
MSRB3	5	1554126_at:1554127_s_at:225782_at:238583_at:225790_at	
ANKS4B	1	239087_at	
RNF141	4	219104_at:1565546_at:226106_at:1565544_at	
MSRB1	1	217977_at	
GPR146	1	228770_at	
CHRM3-AS2	1	1557733_a_at	
COL16A1	1	204345_at	
CHPF	1	202175_at	
EPO	2	207257_at:217254_s_at	
HJURP	1	218726_at	
RNF19B	2	213038_at:36564_at	
EPX	1	214627_at	
SERTM1	1	241672_at	
RNF19A	2	223085_at:220483_s_at	
CHP2	1	206149_at	
CHP1	2	207993_s_at:214665_s_at	
VSTM2A-OT1	1	1560692_at	
MEN1	1	202645_s_at	
RNF43	1	218704_at	
RNF44	1	203286_at	
FAM24B	1	231146_at	
F2R	2	1569642_at:203989_x_at	
FAM24A	1	243143_at	
LOC100289361	1	229338_at	
RNF40	3	239801_at:206845_s_at:217642_at	
RNF41	3	201962_s_at:201961_s_at:235459_at	
MELK	1	204825_at	
ERF	2	230368_at:203643_at	
GAPDHS	1	207116_s_at	
NHP2	2	213297_at:209104_s_at	
ERH	1	200043_at	
ERG	4	211626_x_at:222079_at:213541_s_at:241926_s_at	
IQCA1	5	1562130_at:1561485_at:220274_at:1557642_at:238584_at	
ENY2	3	218482_at:226776_at:226775_at	
ABHD4	2	242023_at:218581_at	
ABHD3	1	213017_at	
ABHD2	6	205566_at:87100_at:221815_at:225337_at:63825_at:228490_at	
FAM27C	1	223791_at	
RNF180	3	242033_at:236644_at:242985_x_at	
ABHD1	2	1560117_at:236461_at	
CHRD	2	221674_s_at:211248_s_at	
ABHD8	1	219101_x_at	
ABHD6	4	221679_s_at:45288_at:221552_at:221678_at	
ABHD5	4	218739_at:213935_at:213805_at:232862_at	
MACROH2A2	1	218445_at	
MACROH2A1	7	1558779_at:229593_at:214500_at:226840_at:207168_s_at:214501_s_at:1558780_a_at	
NCK1-DT	1	228799_at	
CACNA1G-AS1	1	1559061_at	
TBXA2R	4	211590_x_at:336_at:207554_x_at:207555_s_at	
OARD1	2	238860_at:213322_at	
ESD	5	215096_s_at:240808_at:209009_at:215095_at:228162_at	
ABL1	1	202123_s_at	
RNF170	3	226104_at:220985_s_at:1554312_at	
ABL2	3	226893_at:206411_s_at:231907_at	
RNF175	1	236465_at	
PPIAL4G	1	217136_at	
STRA6	3	221701_s_at:1569335_a_at:1569334_at	
GPR108	1	225058_at	
TVP23A	1	1563638_at	
TVP23B	1	218446_s_at	
TVP23C	3	228482_at:1552377_s_at:244698_at	
PALB2	1	219530_at	
TDRD12	1	215356_at	
RNF182	1	230720_at	
RNF181	1	223064_at	
GPR107	4	220264_s_at:211977_at:211979_at:220265_at	
TDRD10	1	231371_at	
RNF183	1	235153_at	
GPR101	1	1553544_at	
RNF186	1	219739_at	
RNF185	1	224750_at	
RNF187	5	228470_at:212155_at:230662_at:1569294_at:229207_x_at	
RNF10	2	207801_s_at:208632_at	
RNF11	1	208924_at	
CALCOCO1	1	209002_s_at	
SFT2D3	3	226639_at:229023_at:229472_at	
RNF13	2	201780_s_at:201779_s_at	
CALCOCO2	4	235076_at:1560631_at:210817_s_at:238560_at	
RNF14	3	201823_s_at:243345_at:201824_at	
ADRA1D	2	210961_s_at:210960_at	
TREM2	1	219725_at	
LOC102724851	1	230187_s_at	
ADRA1B	1	207589_at	
ADRA1A	4	211490_at:211492_s_at:211491_at:211489_at	
TREM1	1	219434_at	
PTBP1	9	202189_x_at:236819_at:226491_x_at:211271_x_at:212016_s_at:212015_x_at:231158_x_at:211270_x_at:216306_x_at	
RPL7A	3	224930_x_at:217740_x_at:234873_x_at	
DNMT3L	1	220139_at	
RNF17	5	1563114_at:220270_at:221033_s_at:224383_at:224384_s_at	
DNMT3B	1	220668_s_at	
IQCB1	2	211707_s_at:205995_x_at	
PDCD6IP	2	217746_s_at:222394_at	
CHUK	1	209666_s_at	
DNMT3A	3	218457_s_at:222640_at:244428_at	
MEPE	1	221150_at	
KCNAB1	5	210471_s_at:210078_s_at:208213_s_at:210079_x_at:231524_at	
ELSPBP1	1	220366_at	
KCNAB2	2	211791_s_at:203402_at	
RANGAP1	3	212125_at:212127_at:1553535_a_at	
ADRA2C	1	206128_at	
KCNAB3	1	221413_at	
ADRA2B	1	208544_at	
PTBP2	2	1554614_a_at:218683_at	
COASY	1	201913_s_at	
ADRA2A	1	209869_at	
PTBP3	5	214697_s_at:224617_at:224618_at:207223_s_at:214698_at	
EVC	3	210887_s_at:219432_at:234421_s_at	
LOC642361	1	228839_s_at	
IL3RA	1	206148_at	
EVL	2	227232_at:217838_s_at	
SPEM2	1	240082_s_at	
SPEM1	1	240878_at	
SFT2D2	2	225356_at:214838_at	
SFT2D1	5	225850_at:1560694_at:232487_at:226836_at:225849_s_at	
TRHDE-AS1	2	1560697_at:1560698_a_at	
SSX2IP	6	203015_s_at:203019_x_at:203018_s_at:203017_s_at:203016_s_at:210871_x_at	
GATA3-AS1	2	240827_at:240192_at	
CX3CR1	2	1568934_at:205898_at	
RNF31	3	220788_s_at:231635_x_at:225122_at	
RNF32	3	220991_s_at:1554642_at:232830_at	
SMARCD1	2	209518_at:203183_s_at	
SMARCD2	1	201827_at	
SMARCD3	2	204099_at:231144_at	
RNF34	3	236288_at:219035_s_at:229855_at	
WBP1	1	223072_s_at	
LOC100506725	1	229781_at	
WBP2	1	209117_at	
WBP4	3	203599_s_at:203598_s_at:203597_s_at	
RNF38	2	222660_s_at:218528_s_at	
ITLN1	1	223597_at	
MAP3K20-AS1	1	1558653_at	
MESD	5	224675_at:224672_x_at:224679_at:238679_at:239746_at	
MROH1	4	227778_at:232498_at:1565653_at:230361_at	
PUF60	1	209899_s_at	
RBBP4	6	225396_at:239071_at:217301_x_at:237333_at:210371_s_at:244872_at	
RBBP5	1	205169_at	
LOC100289333	1	233775_x_at	
ANKAR	2	1556653_at:1552438_a_at	
RBBP8	1	203344_s_at	
RNF39	1	219916_s_at	
MROH9	1	221182_at	
RBBP9	4	221439_at:221440_s_at:226696_at:232751_at	
